id;name;typ;untertyp;status;kapazitaet_max;kapazitaet_verfuegbar;auslastung_prozent;strasse;plz;ort;stadtteil;lat;lon;barrierefrei;stromversorgung_notstrom;wasser_verfuegbar;sanitaer_verfuegbar;betreiber;ansprechpartner;letzte_pruefung;prioritaet;hinweis
"NK-0011";"Notunterkunft Waldacker 11";"Notunterkunft";"Sporthalle";"aktiv";"332";"66";"80";"Musterstrasse 11";"73728";"Esslingen am Neckar";"Waldacker";"48.7045229875458";"9.326647746962939";"nein";"ja";"ja";"ja";"Gebaeudemanagement";"Kommunaler Bereitschaftsdienst";"2025-07-12";"niedrig";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0012";"Notunterkunft Auenfeld 12";"Notunterkunft";"Sporthalle";"ausser Betrieb";"136";"0";"100";"Musterstrasse 12";"73728";"Esslingen am Neckar";"Auenfeld";"48.723764685488874";"9.336770290608287";"ja";"ja";"ja";"ja";"Ordnungsamt";"Kommunaler Bereitschaftsdienst";"2025-04-20";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0013";"Notunterkunft Mitte 13";"Notunterkunft";"Sporthalle";"aktiv";"120";"20";"83";"Musterstrasse 13";"73728";"Esslingen am Neckar";"Mitte";"48.778510006665144";"9.283463158981634";"ja";"nein";"ja";"ja";"Stadtverwaltung";"Amt fuer Bevoelkerungsschutz";"2025-08-07";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0014";"Notunterkunft Nord 14";"Notunterkunft";"Sporthalle";"aktiv";"337";"110";"67";"Musterstrasse 14";"73728";"Esslingen am Neckar";"Nord";"48.75726965750207";"9.277921389008274";"ja";"ja";"ja";"ja";"Feuerwehr";"Kommunaler Bereitschaftsdienst";"2025-08-16";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0015";"Notunterkunft Sued 15";"Notunterkunft";"Sporthalle";"aktiv";"48";"26";"46";"Musterstrasse 15";"73728";"Esslingen am Neckar";"Sued";"48.74184134138724";"9.27322082698575";"ja";"ja";"ja";"ja";"DRK";"Kommunaler Bereitschaftsdienst";"2025-04-05";"hoch";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0016";"Notunterkunft Weststadt 16";"Notunterkunft";"Sporthalle";"eingeschraenkt";"238";"147";"38";"Musterstrasse 16";"73728";"Esslingen am Neckar";"Weststadt";"48.7281602023288";"9.280955310135251";"nein";"ja";"ja";"ja";"Technisches Hilfswerk";"Amt fuer Bevoelkerungsschutz";"2025-06-20";"niedrig";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0017";"Notunterkunft Oberdorf 17";"Notunterkunft";"Sporthalle";"eingeschraenkt";"93";"78";"16";"Musterstrasse 17";"73728";"Esslingen am Neckar";"Oberdorf";"48.72612379693516";"9.295570060259525";"ja";"nein";"ja";"ja";"Gebaeudemanagement";"Kommunaler Bereitschaftsdienst";"2026-02-22";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0018";"Notunterkunft Pliensauvorstadt 18";"Notunterkunft";"Sporthalle";"eingeschraenkt";"251";"105";"58";"Musterstrasse 18";"73728";"Esslingen am Neckar";"Pliensauvorstadt";"48.69452335362792";"9.304821346231659";"ja";"ja";"ja";"ja";"Ordnungsamt";"Kommunaler Bereitschaftsdienst";"2025-10-30";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0019";"Notunterkunft Zell 19";"Notunterkunft";"Sporthalle";"ausser Betrieb";"255";"0";"100";"Musterstrasse 19";"73728";"Esslingen am Neckar";"Zell";"48.70578795170827";"9.325720117482742";"ja";"ja";"ja";"ja";"Stadtverwaltung";"Amt fuer Bevoelkerungsschutz";"2026-02-02";"mittel";"Zugang ueber Nordseite, Schluessel im Stabsraum hinterlegt"
"NK-0020";"Notunterkunft Obertal 20";"Notunterkunft";"Sporthalle";"geplant";"123";"95";"23";"Musterstrasse 20";"73728";"Esslingen am Neckar";"Obertal";"48.72954256161955";"9.326330713957615";"ja";"ja";"ja";"ja";"Feuerwehr";"Kommunaler Bereitschaftsdienst";"2025-07-09";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0021";"Notunterkunft Sulzgries 21";"Notunterkunft";"Sporthalle";"aktiv";"62";"50";"19";"Musterstrasse 21";"73728";"Esslingen am Neckar";"Sulzgries";"48.74222243266653";"9.34773577418753";"nein";"nein";"ja";"ja";"DRK";"Kommunaler Bereitschaftsdienst";"2025-10-08";"niedrig";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0022";"Notunterkunft Berkheim 22";"Notunterkunft";"Sporthalle";"aktiv";"189";"20";"89";"Musterstrasse 22";"73728";"Esslingen am Neckar";"Berkheim";"48.75786715322615";"9.331726552358983";"ja";"ja";"ja";"ja";"Technisches Hilfswerk";"Amt fuer Bevoelkerungsschutz";"2026-01-24";"hoch";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0023";"Notunterkunft Waldacker 23";"Notunterkunft";"Sporthalle";"aktiv";"89";"15";"83";"Musterstrasse 23";"73728";"Esslingen am Neckar";"Waldacker";"48.7741184589718";"9.322802115676991";"ja";"ja";"ja";"ja";"Gebaeudemanagement";"Kommunaler Bereitschaftsdienst";"2025-04-17";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0024";"Notunterkunft Auenfeld 24";"Notunterkunft";"Sporthalle";"ausser Betrieb";"284";"0";"100";"Musterstrasse 24";"73728";"Esslingen am Neckar";"Auenfeld";"48.794330454784735";"9.304061134052722";"ja";"ja";"ja";"ja";"Ordnungsamt";"Kommunaler Bereitschaftsdienst";"2025-04-12";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0025";"Notunterkunft Mitte 25";"Notunterkunft";"Sporthalle";"aktiv";"245";"153";"38";"Musterstrasse 25";"73728";"Esslingen am Neckar";"Mitte";"48.72884551128586";"9.297063018674187";"ja";"nein";"ja";"ja";"Stadtverwaltung";"Amt fuer Bevoelkerungsschutz";"2025-09-16";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0026";"Notunterkunft Nord 26";"Notunterkunft";"Sporthalle";"aktiv";"83";"70";"16";"Musterstrasse 26";"73728";"Esslingen am Neckar";"Nord";"48.72036134941871";"9.30462016060532";"nein";"ja";"ja";"ja";"Feuerwehr";"Kommunaler Bereitschaftsdienst";"2026-04-09";"niedrig";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0027";"Notunterkunft Sued 27";"Notunterkunft";"Sporthalle";"aktiv";"146";"82";"44";"Musterstrasse 27";"73728";"Esslingen am Neckar";"Sued";"48.71829066591711";"9.318289792717644";"ja";"ja";"ja";"ja";"DRK";"Kommunaler Bereitschaftsdienst";"2025-07-03";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0028";"Notunterkunft Weststadt 28";"Notunterkunft";"Sporthalle";"aktiv";"205";"131";"36";"Musterstrasse 28";"73728";"Esslingen am Neckar";"Weststadt";"48.72314781531369";"9.337291123631248";"ja";"ja";"ja";"ja";"Technisches Hilfswerk";"Amt fuer Bevoelkerungsschutz";"2025-09-15";"mittel";"Zugang ueber Nordseite, Schluessel im Stabsraum hinterlegt"
"NK-0029";"Notunterkunft Oberdorf 29";"Notunterkunft";"Sporthalle";"aktiv";"345";"263";"24";"Musterstrasse 29";"73728";"Esslingen am Neckar";"Oberdorf";"48.741992500431614";"9.329341267890243";"ja";"nein";"ja";"ja";"Gebaeudemanagement";"Kommunaler Bereitschaftsdienst";"2025-11-18";"hoch";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0030";"Notunterkunft Pliensauvorstadt 30";"Notunterkunft";"Sporthalle";"aktiv";"173";"118";"32";"Musterstrasse 30";"73728";"Esslingen am Neckar";"Pliensauvorstadt";"48.75182790664192";"9.321611558131591";"ja";"ja";"ja";"ja";"Ordnungsamt";"Kommunaler Bereitschaftsdienst";"2025-06-22";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0031";"Notunterkunft Zell 31";"Notunterkunft";"Sporthalle";"aktiv";"281";"76";"73";"Musterstrasse 31";"73728";"Esslingen am Neckar";"Zell";"48.784911157234085";"9.329111977946319";"nein";"ja";"ja";"ja";"Stadtverwaltung";"Amt fuer Bevoelkerungsschutz";"2025-09-12";"niedrig";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0032";"Notunterkunft Obertal 32";"Notunterkunft";"Sporthalle";"aktiv";"216";"174";"19";"Musterstrasse 32";"73728";"Esslingen am Neckar";"Obertal";"48.76561348438759";"9.304444879206363";"ja";"ja";"ja";"ja";"Feuerwehr";"Kommunaler Bereitschaftsdienst";"2025-07-13";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0033";"Notunterkunft Sulzgries 33";"Notunterkunft";"Sporthalle";"aktiv";"87";"28";"68";"Musterstrasse 33";"73728";"Esslingen am Neckar";"Sulzgries";"48.774883502189724";"9.285226773319957";"ja";"nein";"ja";"ja";"DRK";"Kommunaler Bereitschaftsdienst";"2026-03-10";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0034";"Notunterkunft Berkheim 34";"Notunterkunft";"Sporthalle";"aktiv";"207";"168";"19";"Musterstrasse 34";"73728";"Esslingen am Neckar";"Berkheim";"48.75896322331252";"9.274463137635879";"ja";"ja";"ja";"ja";"Technisches Hilfswerk";"Amt fuer Bevoelkerungsschutz";"2025-08-09";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0035";"Notunterkunft Waldacker 35";"Notunterkunft";"Sporthalle";"aktiv";"300";"55";"82";"Musterstrasse 35";"73728";"Esslingen am Neckar";"Waldacker";"48.74159117720825";"9.271550716259";"ja";"ja";"ja";"ja";"Gebaeudemanagement";"Kommunaler Bereitschaftsdienst";"2025-06-06";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0036";"Notunterkunft Auenfeld 36";"Notunterkunft";"Sporthalle";"ausser Betrieb";"192";"0";"100";"Musterstrasse 36";"73728";"Esslingen am Neckar";"Auenfeld";"48.7187289980457";"9.265402647855106";"nein";"ja";"ja";"ja";"Ordnungsamt";"Kommunaler Bereitschaftsdienst";"2025-05-18";"hoch";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0037";"Notunterkunft Mitte 37";"Notunterkunft";"Sporthalle";"eingeschraenkt";"317";"129";"59";"Musterstrasse 37";"73728";"Esslingen am Neckar";"Mitte";"48.7419";"9.344336364565791";"ja";"nein";"ja";"ja";"Stadtverwaltung";"Amt fuer Bevoelkerungsschutz";"2025-06-13";"mittel";"Zugang ueber Nordseite, Schluessel im Stabsraum hinterlegt"
"NK-0038";"Notunterkunft Nord 38";"Notunterkunft";"Sporthalle";"eingeschraenkt";"108";"38";"65";"Musterstrasse 38";"73728";"Esslingen am Neckar";"Nord";"48.75058641929285";"9.319612911722057";"ja";"ja";"ja";"ja";"Feuerwehr";"Kommunaler Bereitschaftsdienst";"2025-06-24";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0039";"Notunterkunft Sued 39";"Notunterkunft";"Sporthalle";"ausser Betrieb";"287";"0";"100";"Musterstrasse 39";"73728";"Esslingen am Neckar";"Sued";"48.77461584905253";"9.323407088138074";"ja";"ja";"ja";"ja";"DRK";"Kommunaler Bereitschaftsdienst";"2025-08-04";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0040";"Notunterkunft Weststadt 40";"Notunterkunft";"Sporthalle";"geplant";"77";"26";"66";"Musterstrasse 40";"73728";"Esslingen am Neckar";"Weststadt";"48.781029126565606";"9.304490333558293";"ja";"ja";"ja";"ja";"Technisches Hilfswerk";"Amt fuer Bevoelkerungsschutz";"2025-11-22";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0041";"Notunterkunft Oberdorf 41";"Notunterkunft";"Sporthalle";"aktiv";"298";"176";"41";"Musterstrasse 41";"73728";"Esslingen am Neckar";"Oberdorf";"48.77868074195966";"9.283180970475762";"nein";"nein";"ja";"ja";"Gebaeudemanagement";"Kommunaler Bereitschaftsdienst";"2025-11-09";"niedrig";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0042";"Notunterkunft Pliensauvorstadt 42";"Notunterkunft";"Sporthalle";"aktiv";"58";"21";"64";"Musterstrasse 42";"73728";"Esslingen am Neckar";"Pliensauvorstadt";"48.75163984506017";"9.287546623761022";"ja";"ja";"ja";"ja";"Ordnungsamt";"Kommunaler Bereitschaftsdienst";"2026-05-11";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0043";"Notunterkunft Zell 43";"Notunterkunft";"Sporthalle";"aktiv";"158";"91";"42";"Musterstrasse 43";"73728";"Esslingen am Neckar";"Zell";"48.741748862527615";"9.27763719013702";"ja";"ja";"ja";"ja";"Stadtverwaltung";"Amt fuer Bevoelkerungsschutz";"2025-05-27";"hoch";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0044";"Notunterkunft Obertal 44";"Notunterkunft";"Sporthalle";"aktiv";"267";"221";"17";"Musterstrasse 44";"73728";"Esslingen am Neckar";"Obertal";"48.716672469260594";"9.261557162117569";"ja";"ja";"ja";"ja";"Feuerwehr";"Kommunaler Bereitschaftsdienst";"2026-04-10";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0045";"Notunterkunft Sulzgries 45";"Notunterkunft";"Sporthalle";"aktiv";"120";"62";"48";"Musterstrasse 45";"73728";"Esslingen am Neckar";"Sulzgries";"48.708044535019496";"9.285389466653628";"ja";"nein";"ja";"ja";"DRK";"Kommunaler Bereitschaftsdienst";"2026-01-27";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0046";"Notunterkunft Berkheim 46";"Notunterkunft";"Sporthalle";"aktiv";"322";"82";"75";"Musterstrasse 46";"73728";"Esslingen am Neckar";"Berkheim";"48.70862330104664";"9.304879797730978";"nein";"ja";"ja";"ja";"Technisches Hilfswerk";"Amt fuer Bevoelkerungsschutz";"2025-06-18";"niedrig";"Zugang ueber Nordseite, Schluessel im Stabsraum hinterlegt"
"NK-0047";"Notunterkunft Waldacker 47";"Notunterkunft";"Sporthalle";"aktiv";"238";"137";"42";"Musterstrasse 47";"73728";"Esslingen am Neckar";"Waldacker";"48.69876986603729";"9.330041366702401";"ja";"ja";"ja";"ja";"Gebaeudemanagement";"Kommunaler Bereitschaftsdienst";"2025-05-28";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0048";"Notunterkunft Auenfeld 48";"Notunterkunft";"Sporthalle";"ausser Betrieb";"143";"0";"100";"Musterstrasse 48";"73728";"Esslingen am Neckar";"Auenfeld";"48.721672973372804";"9.340480785212694";"ja";"ja";"ja";"ja";"Ordnungsamt";"Kommunaler Bereitschaftsdienst";"2025-03-29";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0049";"Notunterkunft Mitte 49";"Notunterkunft";"Sporthalle";"aktiv";"115";"43";"63";"Musterstrasse 49";"73728";"Esslingen am Neckar";"Mitte";"48.767270108524";"9.289952530651107";"ja";"nein";"ja";"ja";"Stadtverwaltung";"Amt fuer Bevoelkerungsschutz";"2026-03-10";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0050";"Notunterkunft Nord 50";"Notunterkunft";"Sporthalle";"aktiv";"166";"19";"89";"Musterstrasse 50";"73728";"Esslingen am Neckar";"Nord";"48.75412841338126";"9.28337395227573";"ja";"ja";"ja";"ja";"Feuerwehr";"Kommunaler Bereitschaftsdienst";"2025-12-04";"hoch";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0051";"Notunterkunft Sued 51";"Notunterkunft";"Sporthalle";"aktiv";"124";"15";"88";"Musterstrasse 51";"73728";"Esslingen am Neckar";"Sued";"48.741830863767056";"9.267615869058098";"nein";"ja";"ja";"ja";"DRK";"Kommunaler Bereitschaftsdienst";"2025-05-08";"niedrig";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0052";"Notunterkunft Weststadt 52";"Notunterkunft";"Sporthalle";"aktiv";"327";"121";"63";"Musterstrasse 52";"73728";"Esslingen am Neckar";"Weststadt";"48.72709149115641";"9.27911617503072";"ja";"ja";"ja";"ja";"Technisches Hilfswerk";"Amt fuer Bevoelkerungsschutz";"2025-07-07";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0053";"Notunterkunft Oberdorf 53";"Notunterkunft";"Sporthalle";"aktiv";"152";"17";"89";"Musterstrasse 53";"73728";"Esslingen am Neckar";"Oberdorf";"48.71939124774613";"9.291716502262913";"ja";"nein";"ja";"ja";"Gebaeudemanagement";"Kommunaler Bereitschaftsdienst";"2026-01-16";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0054";"Notunterkunft Pliensauvorstadt 54";"Notunterkunft";"Sporthalle";"aktiv";"138";"90";"35";"Musterstrasse 54";"73728";"Esslingen am Neckar";"Pliensauvorstadt";"48.709402566686755";"9.30475182975059";"ja";"ja";"ja";"ja";"Ordnungsamt";"Kommunaler Bereitschaftsdienst";"2025-10-03";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0055";"Notunterkunft Zell 55";"Notunterkunft";"Sporthalle";"aktiv";"51";"33";"35";"Musterstrasse 55";"73728";"Esslingen am Neckar";"Zell";"48.71026925688314";"9.323099227883661";"ja";"ja";"ja";"ja";"Stadtverwaltung";"Amt fuer Bevoelkerungsschutz";"2025-09-03";"mittel";"Zugang ueber Nordseite, Schluessel im Stabsraum hinterlegt"
"NK-0056";"Notunterkunft Obertal 56";"Notunterkunft";"Sporthalle";"eingeschraenkt";"251";"180";"28";"Musterstrasse 56";"73728";"Esslingen am Neckar";"Obertal";"48.731433225948834";"9.323005956474342";"nein";"ja";"ja";"ja";"Feuerwehr";"Kommunaler Bereitschaftsdienst";"2026-04-09";"niedrig";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0057";"Notunterkunft Sulzgries 57";"Notunterkunft";"Sporthalle";"eingeschraenkt";"335";"214";"36";"Musterstrasse 57";"73728";"Esslingen am Neckar";"Sulzgries";"48.74215014272756";"9.338064662023523";"ja";"nein";"ja";"ja";"DRK";"Kommunaler Bereitschaftsdienst";"2025-07-07";"hoch";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0058";"Notunterkunft Berkheim 58";"Notunterkunft";"Sporthalle";"eingeschraenkt";"332";"65";"80";"Musterstrasse 58";"73728";"Esslingen am Neckar";"Berkheim";"48.76143011198847";"9.337779653124652";"ja";"ja";"ja";"ja";"Technisches Hilfswerk";"Amt fuer Bevoelkerungsschutz";"2026-03-22";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0059";"Notunterkunft Waldacker 59";"Notunterkunft";"Sporthalle";"ausser Betrieb";"187";"0";"100";"Musterstrasse 59";"73728";"Esslingen am Neckar";"Waldacker";"48.788821602108534";"9.331108792058517";"ja";"ja";"ja";"ja";"Gebaeudemanagement";"Kommunaler Bereitschaftsdienst";"2026-04-25";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0060";"Notunterkunft Auenfeld 60";"Notunterkunft";"Sporthalle";"ausser Betrieb";"72";"0";"100";"Musterstrasse 60";"73728";"Esslingen am Neckar";"Auenfeld";"48.78481058512852";"9.30415897668257";"ja";"ja";"ja";"ja";"Ordnungsamt";"Kommunaler Bereitschaftsdienst";"2026-03-12";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0061";"Notunterkunft Mitte 61";"Notunterkunft";"Sporthalle";"aktiv";"66";"22";"67";"Musterstrasse 61";"73728";"Esslingen am Neckar";"Mitte";"48.71465338562242";"9.288869225072522";"nein";"nein";"ja";"ja";"Stadtverwaltung";"Amt fuer Bevoelkerungsschutz";"2026-04-16";"niedrig";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0062";"Notunterkunft Nord 62";"Notunterkunft";"Sporthalle";"aktiv";"97";"17";"82";"Musterstrasse 62";"73728";"Esslingen am Neckar";"Nord";"48.727876898460885";"9.304613125901943";"ja";"ja";"ja";"ja";"Feuerwehr";"Kommunaler Bereitschaftsdienst";"2026-05-11";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0063";"Notunterkunft Sued 63";"Notunterkunft";"Sporthalle";"aktiv";"139";"20";"86";"Musterstrasse 63";"73728";"Esslingen am Neckar";"Sued";"48.71578700383637";"9.319741532728612";"ja";"ja";"ja";"ja";"DRK";"Kommunaler Bereitschaftsdienst";"2025-10-31";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0064";"Notunterkunft Weststadt 64";"Notunterkunft";"Sporthalle";"aktiv";"270";"116";"57";"Musterstrasse 64";"73728";"Esslingen am Neckar";"Weststadt";"48.73127852738969";"9.323116662461361";"ja";"ja";"ja";"ja";"Technisches Hilfswerk";"Amt fuer Bevoelkerungsschutz";"2025-08-22";"hoch";"Zugang ueber Nordseite, Schluessel im Stabsraum hinterlegt"
"NK-0065";"Notunterkunft Oberdorf 65";"Notunterkunft";"Sporthalle";"aktiv";"342";"251";"27";"Musterstrasse 65";"73728";"Esslingen am Neckar";"Oberdorf";"48.74202567492283";"9.33821451269386";"ja";"nein";"ja";"ja";"Gebaeudemanagement";"Kommunaler Bereitschaftsdienst";"2025-10-02";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0066";"Notunterkunft Pliensauvorstadt 66";"Notunterkunft";"Sporthalle";"aktiv";"343";"231";"33";"Musterstrasse 66";"73728";"Esslingen am Neckar";"Pliensauvorstadt";"48.752805487009695";"9.3232866509638";"nein";"ja";"ja";"ja";"Ordnungsamt";"Kommunaler Bereitschaftsdienst";"2025-07-15";"niedrig";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0067";"Notunterkunft Zell 67";"Notunterkunft";"Sporthalle";"aktiv";"282";"135";"52";"Musterstrasse 67";"73728";"Esslingen am Neckar";"Zell";"48.7796569319503";"9.326117604798434";"ja";"ja";"ja";"ja";"Stadtverwaltung";"Amt fuer Bevoelkerungsschutz";"2026-01-20";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0068";"Notunterkunft Obertal 68";"Notunterkunft";"Sporthalle";"aktiv";"191";"52";"73";"Musterstrasse 68";"73728";"Esslingen am Neckar";"Obertal";"48.768820011152265";"9.304423903841949";"ja";"ja";"ja";"ja";"Feuerwehr";"Kommunaler Bereitschaftsdienst";"2026-05-13";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0069";"Notunterkunft Sulzgries 69";"Notunterkunft";"Sporthalle";"aktiv";"268";"61";"77";"Musterstrasse 69";"73728";"Esslingen am Neckar";"Sulzgries";"48.76266434682091";"9.292403830062964";"ja";"nein";"ja";"ja";"DRK";"Kommunaler Bereitschaftsdienst";"2026-03-07";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0070";"Notunterkunft Berkheim 70";"Notunterkunft";"Sporthalle";"aktiv";"301";"80";"73";"Musterstrasse 70";"73728";"Esslingen am Neckar";"Berkheim";"48.768589032929285";"9.257462147011147";"ja";"ja";"ja";"ja";"Technisches Hilfswerk";"Amt fuer Bevoelkerungsschutz";"2025-03-28";"mittel";"Regelbetrieb nach kommunalem Notfallplan"
"NK-0071";"Notunterkunft Waldacker 71";"Notunterkunft";"Sporthalle";"aktiv";"162";"77";"52";"Musterstrasse 71";"73728";"Esslingen am Neckar";"Waldacker";"48.74141812081463";"9.253030742965246";"nein";"ja";"ja";"ja";"Gebaeudemanagement";"Kommunaler Bereitschaftsdienst";"2025-05-23";"hoch";"Regelbetrieb nach kommunalem Notfallplan"
